platform,komentar,timestamp
YouTube,Baru kali ini sekelompok jaksa bejat kalah dgn konten kreator.,2026-04-18 12:13:34
YouTube,"KPK saatnya periksa semua Jaksa di Indonesia. Capek"" tangkap koruptor jaksanya temen sendiri",2026-04-18 12:13:34
YouTube,No viral no justice. Itulah hukum bobrok di negara Indonesia.,2026-04-18 12:13:34
YouTube,"Sumut terkenal akan kejahatan, seperti maling, begal. Bahkan pejabat daerahnya jg maling.. dua kali berturut-turut gubernur nya korupsi wali kota Medan jg terlibat berturut turut korupsi..... Itu Masi yg terbukti kemungkinan Masi banyak yg belum terungkap... Dan para jaksa yg menangani kasus amsal Sitepu harus di periksa dan harus di pecat jika terbukti melakukan kesalahan besar.",2026-04-18 12:13:34
YouTube,Hikmah buat Bang Amsal bisa lebih dikenal publik dan akibat KETOLOLAN SEJUMLAH OKNUM bisa MEMBUKA KEBOBROKAN yang lebih luas ,2026-04-18 12:13:34
YouTube,"Saya kaget ketika buka AMSAL 1 AYAT 31 "" maka mereka akan memakan buah perbuatan mereka, dan menjadi kenyang oleh rencana mereka """,2026-04-18 12:13:34
YouTube,Bang amsal percayalah abis ini nama mu akan makin besar dan di berkati tuhan.....aminnnn,2026-04-18 12:13:34
YouTube,"Bang densu,undang pakar hukum pidana UI Gandjar Laksmana Bonaprapta dong.  Edukasi soal hukum pidana,supaya tau hak kita ketika. Di panggil polisi. Kapan panggil lawyer. Prosedur penangkapan.  Ini penting jangan sampai kejadian lagi kayak dulu ditangkap,pergi punya nyawa,pulang gak ada nyawa.",2026-04-18 12:13:34
YouTube,"Bener kata prof mahfud, Gaji jaksa naik 280 persen bukan solusi",2026-04-18 12:13:34
YouTube,"Dibalik crita² lucu di video ini tetap sih kejaksaannya harus di evaluasi bener², ngeri bgt gtu main tersangka² kan org aja seenaknya",2026-04-18 12:13:34
YouTube,"Jaksa pelenger, ginian aja dipenjara, noh anggaran gorden dpr 48 miliar napa g diusut",2026-04-18 12:13:34
YouTube,Masa yg udah hancurin hidup org kek gini hanya minta maaf aja... Gak adil!!!,2026-04-18 12:13:34
YouTube,"Bang Den, mohon undang Hakimnya dong, Karena Logikanya sangat BAGUS",2026-04-18 12:13:34
